order_id;comments;total_orders;overall_rating;effectiveness;product_longevity;sport_type;date_created;sku
F-02-5779;Mein absoluter Gamechancer. Nach dem Laufen oft sehr harte Muskeln und mde Beine sind nach dem benutzen des Muskle complex wieder frisch und die Regeneration geht schneller. Im Marathontraining einfach das beste!!! Da ich sehr trockene Haut habe bei mir leider nicht ganz so ergiebig und zieht schnell ein. Übrigens gekauft auf Empfehlung von Anette Alias fight_your_schweinehund ;3;5;5;2;Running;2024-09-24 16:00:00;02-1149
F-02-5721;Ein sehr angenehmes und gut händelbares Massageöl bzw. Complex. Die Muskulatur erholt sich sehr schnell und ich verspürte nach dem harten Training kaum Muskelkater. Ich habe es auch schon vor dem Training genommen und bin total begeistert. Man benötigt auch nur eine kleine Menge und hat eine super Wirkung.;6;5;5;5;Running;2024-09-24 14:20:00;02-1113-2
F-02-5769;;3;5;5;4;Running;2024-09-24 12:43:00;02-1113-2
F-02-5803;Ein sinnvoller Baustein für die Regeneration ;2;5;4;3;Running;2024-09-24 07:29:00;02-1149
F-02-5810;Leicht verträgliches Recoverygel welches super schnell einzieht und seine Wirkung in nur wenigen Sekunden entfaltet. Ebenso nimmt man einen angenehmen Duft war. Ich nutze es nach intensiven Einheiten und merke spürbar wie sich die Muskulatur in meinen Beine entspannen. Ich liebe dieses Gel. ;3;5;4;4;Running;2024-09-24 07:27:00;02-1113-2
F-02-5790;Man kann mit dem Öl gut massieren, ich knnte allerdings nicht wirklich feststellen, dass es die Regeneration untersttzt oder den Muskelkater verringert. Da tut es einfaches Lavendell prinzipiell auch... ;3;2;2;4;Triathlon;2024-09-24 07:16:00;02-1045-1
F-02-5671;Man spürt es deutlich, wie die Regeneration schneller ist. Benutze es vor und nach dem Training.;4;5;5;5;Rennrad;2024-09-22 14:30:00;02-1149
F-02-5702;Ich wollte es nicht glaube, was die Instagrammer sagen, aber der Effekt nach dem Training ist tatsächlich super regenerierend. Man merk nach dem auftragen direkt eine entspannende Wirkung der Haut und Muskeln. Ich kaufe es nur noch. Danke an feels Like!;4;5;5;4;Leichtathletik;2024-09-21 09:54:00;02-1149
F-02-5680;"Nutze den Muscle Complex immer direkt nach dem Sport und er hilft wirklich. Bin begeistert! Meine Beine fühlen sich selbst nach starker Belastung nicht mehr müde und schwer hat.Tolle Recovery und top Inhaltsstoffe. Wirkt und kaufe ich gerne wieder- vielen Dank an euch ð""";3;5;5;5;Rennrad;2024-09-20 14:49:00;02-1113-2
F-02-5677;Sehr gut, verkürzt die Erholungsphase nach anstrengenden Läufen! Kein Muskelkater mehr! Leider sehr teuer;6;5;4;4;Running;2024-09-20 11:35:00;02-1149
F-02-5546;Ich nutze Muscle Complex nun seit wenigen Wochen und bilde mir ein, dass es tatsächlich bei der Erholung hilft.;4;4;4;4;Running;2024-09-20 07:17:00;02-1045-1
F-02-5484;;2;5;4;4;;2024-09-19 18:32:00;02-1045-1
F-02-5491;Das Muscle Complex ist angenehm. Allerding ist der Preis für mein Empfinden völlig überhöht. Eine Frechheit ist das. Aber selber Schuld, ich hätte es ja nicht bestellen müssen.;1;4;3;3;;2024-09-19 15:23:00;02-1113-2
F-02-5646;Hier spricht rein das Produkt für sich. Hochwertigste Inhaltstoffe und enorme Qualität. Bei mir seid knapp 2 Monaten in Nutzung und so wird es auch bleiben. Danke, dass es noch ehrliche Produkte gibt wie Eure! ;4;5;5;5;Eishockey;2024-09-19 08:41:00;02-1113-2
F-02-5586;"Natrlich gnne ich Euch den Erfolg und die Gewinne, die hoffentlich, dann auch bald, nach den ganzen Vorher- Investitionen, kommen..Aber: ein bißchen msste noch was am Preis gemacht werden...Es ist es wert, aber man muss sich das auch leisten knnen...Viele Menschen werden definitiv ausgeschlossen...""";6;5;5;5;Running;2024-09-18 18:15:00;02-1149
;"Mich begleitet das Produkt nun seit einem halben Jahr. Anfangs war ich noch skeptisch, da es der hheren Preiskategorie angehrt und dementsprechend auch die Anforderungen hochgesteckt waren. Nun kann ich nach zwei Triathlon Mitteldistanzen, einem Marathon und diversen kleinen Wettkampf sagen, dass das Muscle Complex der Gamechanger! Nach jeder Veranstaltung befand sich das Muscle Complex bereits im After Race Beutel. Nach dem Hamburger Marathon im April dachte ich noch, dass es Zufall sei, aber auch die darauffolgenden großen Veranstaltungen haben ich so gut verkraftet, dass ich sehr schnell wieder ins Training einsteigen konnte. Ich kann es jedem nur ans Herz legen!! einfach perfekt,hat mich kurz vor dem Marathon """"gerettet""""	 als plötzchen fußweh auftrat";2;5;;;;2024-09-18 11:57:00;02-1113-2
F-02-5588;;5;5;5;5;Triathlon;2024-09-18 09:04:00;02-1113-2
F-02-5865;"Das Beste Recovery Tool dass es gibt - ich hatte bei meiner ersten Bestellung so meine Zweifel ABER meine Beine fühlen sich viel leichter! Nie wieder ohne dem Muscle Complex! Auch für den Rücken oder die Arme ein top Produkt.""";8;5;5;3;Running;2024-09-18 07:21:00;02-1113-2
F-02-5585;Der perfekte Begleiter für anstrengende Bikepacking-Abenteuer;15;5;5;;Cycling;2024-09-18 07:03:00;02-1045-1
F-02-5585;Tägliche Anwendung und absoluter Gamechanger. Nicht mehr wegzudenken. ;15;5;;5;Cycling;2024-09-18 07:03:00;02-1149
F-02-5412;;2;4;;;;2024-09-15 20:05:00;02-1045-1
F-02-5097;tolle Kosistenz, kein Film auf der Haut, angewendet bei Schulterverspannung und Achillessehnenreizung;2;5;5;5;Trainrunning;2024-09-15 17:14:00;02-1045-1
F-02-5424;;2;5;5;3;Running;2024-09-14 20:17:00;02-1045-1
F-02-5407;;1;5;5;4;;2024-09-14 17:55:00;02-1045-1
F-02-5379;Bin wirklich sehr positiv berrascht ber die Wirksamkeit und Wirkart des Prparats, außerdem sehr ergiebig, und zieht schnell in die Haut ein, so dass auch Tapes unkompliziert a den behandelten Stellen angebracht werden knnen. Benutze es bei Gelenkbeschwerden am Großzeh, Knie und bei Muskelproblemen.;8;5;5;5;Running;2024-09-13 07:43:00;02-1113-2
F-02-5663;;2;3;;;;2024-09-13 07:14:00;02-1113-2
F-02-5377;;1;5;5;;Krafttraining;2024-09-13 07:03:00;02-1113-2
F-02-5382;Nicht ganz billig, aber spitze für die Regeneration! Und echt angenehm zum auftragen! ;1;5;4;4;Running;2024-09-12 08:19:00;02-1113-2
;;;;;;;;
F-02-5337;"Wirklich ein tolles Produkt. Ich nutze es aktuell in meiner Marathonvorbereitung und es hilft mir enorm in den kurzen Regeneration Zeiten das maximum heraus zu holen. Nicht mehr ohne!""	";3;5;5;5;Running;2024-09-11 18:46:00;02-1149
F-02-5314;Gehört einfach in jede Sporttasche. Macht deine Beine super fix wieder locker. ;14;5;5;5;Running;2024-09-11 11:24:00;02-1113-2
F-02-5314;"Hatte eine richtig fiese Verhärtung in der Oberschenkelrückseite. Das hätte mich 3 Wochen Training und damit meinen Start beim Berlin Marathon gekostet. Aber nach einer Woche Radfahren und 3x täglich Feels.like konnte ich schon wieder voll durchstarten. """;14;5;;5;Running;2024-09-11 11:24:00;02-1149
F-02-5053;;3;4;4;4;Running;2024-09-11 10:41:00;02-1113-2
F-02-5212;Super zum Massieren und beschleunigt wirklich die Regeneration ;1;5;5;4;Running;2024-09-10 11:06:00;02-1113-2
F-02-5192;"sehr wirksam, bin unfassbar froh	 diese Produkt fÃ¼r mich entdeckt zu haben";5;5;5;5;Triathlon;"2024-09-10 09:07:16""";02-1113-2
F-02-5219;Nie mehr ohne! Beste Unterstützung zur Regeneration und bei Zerrungen die schnell wieder weg sein müssen. ;4;5;5;;Running;2024-09-10 08:57:00;02-1149
F-02-5241;Der Muscle Complex lässt sich leicht auftragen ohne zu verkleben, zieht direkt ein, ist sehr ergiebig und wirkt wahre Wunder bei müden und verspannten Muskeln. Abends aufgetragen, fühlen sich die Beine am nächsten Tag wieder frisch an. Absolute Empfehlung. Auch bei Verspannungen im Nacken super wirksam!;3;4;;;;2024-09-10 07:47:00;02-1113-2
;BESTE;1;5;5;5;Triathlon;2024-09-09 15:15:00;02-1113-2
F-02-5411;Hervorragend nach dem training. Ich liebe es.;3;5;5;5;Running;2024-09-06 07:09:00;02-1149
F-02-5169;;4;5;5;5;Rennrad;2024-09-06 07:07:00;02-1149
F-02-5130;"Top Produkt, leider aber auch nicht preiswert! Das Produkt nicht gestreckt und es scheint wohl doch wunder zu bewirken!""";2;5;5;5;Running;2024-09-05 14:40:00;02-1113-2
F-02-5137;War erst skeptisch mir das Produkt zu kaufen, da mein Arzt sagte, dass die Haut alle Cremes vorher absorbiert.;8;5;5;4;Running;2024-09-05 07:14:00;02-1113-2
;;;;;;;;
F-02-5144;Verschafft spürbare Lockerungen in den Beinen nach langen Ausdauereinheiten;3;5;5;;Running;2024-09-05 07:04:00;02-1113-2
